Date,Time,Day,School,Opponent,PSU_score,Opponent_score,PSU_win,PSU_ranking
9/1/22,8:00 PM,Thu,Penn State,Wisconsin,16,10,Win,19
9/10/22,12:00 PM,Sat,Penn State,Ball State,44,13,Win,11
9/17/22,3:30 PM,Sat,Penn State,Auburn,28,20,Win,10
9/24/22,12:00 PM,Sat,Penn State,Villanova,38,17,Win,6
10/1/22,3:30 PM,Sat,Penn State,Indiana,24,0,Win,4
10/15/22,12:00 PM,Sat,Penn State,Iowa,20,23,Loss,4
10/22/22,7:30 PM,Sat,Penn State,Illinois,18,20,Loss,7
10/29/22,12:00 PM,Sat,Penn State,Ohio State,24,33,Loss,20
11/5/22,3:30 PM,Sat,Penn State,Maryland,31,14,Win,22
11/12/22,3:30 PM,Sat,Penn State,Michigan,17,21,Loss,23
11/19/22,3:30 PM,Sat,Penn State,Rutgers,28,0,Win,
11/26/22,4:00 PM,Sat,Penn State,Michigan State,27,30,Loss,
1/2/23,5:00 PM,Mon,Penn State,Arkansas,10,24,Loss,
